Title,Year,Alternative_Titles,Director,Lead_Actor,Co_Stars,Music,Synopsis_and_Notes
Guns for San Sebastian,1967,Bataille de San Sebastian,Henri Verneuil,Anthony Quinn,"Charles Bronson, Jaime Fernandez, Rosa Furman, Sam Jaffe, Silvia Pinal, Anjanette Comer",Ennio Morricone,"Filmed entirely on location in Mexico. Anthony Quinn stars as an army deserter and rogue who is mistaken for a Catholic priest by the impoverished villagers of San Sebastian. Embracing the role, he organizes the peasants into a fortified military resistance against a renegade bandit leader (Charles Bronson) and hostile native raiders."
Half Breed,1966,Half Breed; Winnetou und das Halbblut Apanatschi,Harald Philipp,Lex Barker,"Pierre Brice, Götz George, Ursula Glass, Walter Barnes, Ralf Wolter",Martin Böttcher,"Part of the classic Karl May franchise. Frontier scout Old Shatterhand (Lex Barker) and Apache chief Winnetou (Pierre Brice) intervene when predatory white claim-jumpers discover that a young half-breed woman (Ursula Glass) has inherited the rights to a secret, sacred gold mine on her twenty-first birthday."
Halleluja and Sartana Strike Again,1972,Alleluja & Sartana Are Sons... of God; 100 Fists and a Prayer; Alleluja e Sartana Figli di... Dio,Mario Siciliano,Robert Widmark (Alberto Dell'Acqua),"Ron Ely, Uschi Glas, Angelica Ott, Alan Abbott",Elvio Monti / Franco Zauli,"A slapstick Trinity-style buddy comedy pairing TV's Tarzan, Ron Ely, with Alberto Dell'Acqua. Disguised as frontier priests, the two bumbling bandits arrive in Redemption City and find it dominated by a ruthless gang. Allied with an attractive widow (Uschi Glas), they turn an abandoned church into an insurgent headquarters."
Halleluja to Vera Cruz,1973,"Partirono Preti, Tornarono... Curati",Stelvio Massi (as Newman Rostel),Lionel Stander,"Riccardo Salvino, Giampiero Albertini, Jean Louis, Clara Hope, Rick Boyd, Giancarlo Badessi",Luis Enrique Bacalov,"Two roguish con-artists posing as Catholic priests (Lionel Stander and Riccardo Salvino) gain the trust of a band of Mexican revolutionaries. Hearing of a $500,000 army payroll transport, the faux-friars race to intercept the money, navigating comedic brawls and greedy land barons."
Hands of a Gunman,1965,Ocaso de un Pistolero; Mani di Pistolero,Rafael Romero Marchent,Craig Hill,"Gloria Milland, Piero Lulli, Ralph Baldwin, Paco Sanz, Carlos R. Marchent, Jesus Puente",Angelo Francesco Lavagnino,"Craig Hill stars as Galen Stark, a notorious gunslinger who hangs up his weapons to settle down to a quiet family existence with his new bride (Gloria Milland). His past refuses to die, however, as ruthless bounty hunters and former rivals relentlessly track him to his remote retreat."
"Handsome, the Ugly, and the Stupid",1967,"Il Bello, il Brutto, e il Cretino",Giovanni Grimaldi,Franco Franchi,"Ciccio Ingrassia, Mimmo Palmara, Brigitte Petry, Lotar Guntcher, Ivan Scratuglia, Bruno Scipioni",Lallo Gori,"A direct slapstick spoof of Sergio Leone's The Good, the Bad, and the Ugly. Franco and Ciccio play two bumbling frontier idiots who possess half the coordinates to a buried Confederate treasure, teaming up with a rugged gunfighter named Handsome (Mimmo Palmara) to dig up graves across the West."
Hannie Caulder,1971,Colt pour Trois Salopards,Burt Kennedy,Raquel Welch,"Robert Culp, Ernest Borgnine, Christopher Lee, Jack Elam, Strother Martin, Stephen Boyd",Ken Thorne,"Raquel Welch stars as Hannie Caulder, a frontier woman whose husband is murdered and homestead torched by the depraved Clemens brothers (Ernest Borgnine, Jack Elam, and Strother Martin). A passing bounty hunter (Robert Culp) mentors her in precision marksmanship with the help of a craftsman gunsmith (Christopher Lee), setting her on a deadly quest for revenge."
Hate for Hate,1967,Odio per Odio,Domenico Paolella,Antonio Sabàto,"John Ireland, Piero Vida, Nadia Marconi, Fernando Sancho, Mirko Ellis, Gloria Milland",Willy Brezza,"An escaped convict (John Ireland) attempts to return stolen loot to an impoverished young sculptor (Antonio Sabàto). When the convict's ruthless former associates raid the home and kidnap the artist's family, the two men join forces to track down the gang in a stylish, violent pursuit written by Fernando Di Leo."
Hate Thy Neighbor,1969,Odia il Prossimo Tuo,Ferdinando Baldi,George Eastman (Luigi Montefiori),"Clyde Gardner, Nicoletta Machiavelli, Horst Frank, Robert Rice, Paolo Magalotti, Franco Fantasia",Robbe Poitevin,"A ruthless bandit (George Eastman) murders a prospector to steal a map to a rich gold vein on orders from a corrupt landowner (Horst Frank). The victim's brother sets off into Mexico to avenge the killing, navigating a decadent estate where the host stages gladiator-style combat between slaves armed with razor-sharp claws."
Hatred of God,1967,Hate Is My God; L'Odio è il Mio Dio,Claudio Gora,Tony Kendall,"Carlo Giordana, Herbert Fleischmann, Marina Berti, Gunther Philippe, Alberto Pozzilli",Pippo Franco,"A dark, nihilistic revenge tale starring Tony Kendall as Carl, a peaceful rancher whose life is shattered when a marauding bandit crew brutally attacks his homestead and slaughters his wife. Hardened by tragedy, Carl picks up his rifles and embarks on a relentless, cold-blooded manhunt across the frontier."
"Have a Good Funeral, My Friend... Sartana Will Pay",1971,"Stranger's Gold; Buon Funerale, Amigos... Paga Sartana",Giuliano Carmineo (as Anthony Ascott),Gianni Garko,"Daniela Giordano, Ivano Staccioli, Helga Line, Luis Induñi, Franco Ressel, George Wang",Bruno Nicolai,"Gianni Garko returns as Sartana, the supernatural-tinged avenger of the frontier. Arriving in a mining settlement following the murder of a wealthy prospector, Sartana exposes a conspiracy orchestrated by a corrupt banker and a deceptive heiress, utilizing his signature arsenal of trick gadgets and miniature firearms."
He Was Called the Holy Ghost,1972,. . .And His Name Was Holy Ghost; . . .E Lo Chiamarono Spirito Santo,Roberto Mauri (as Robert Johnson),Vassili Karis,"Dick Palmer (Mimmo Palmara), Hunt Powers, Jolanda Modio, Amero Capanna, Carlo Giordana",Bruno Nicolai,"Vassili Karis takes over the title role in this unofficial follow-up to the popular Holy Ghost series. Dressed in a pristine white cape, the mysterious marksman arrives in a rural frontier territory to dismantle a crooked land-grabbing foreclosure scheme run by a corrupt sheriff and a treacherous town financier."
Heads or Tails,1969,Testa o Croce,Piero Pierotti (as Peter E. Stanley),John Ericson,"Franco Lantieri, Sheyla Rosin, Edwige Fenech, Teodoro Corra, José Jaspe",Carlo Savina,"John Ericson plays bounty hunter Will Hunter, who rides into a lawless border town tracking a charismatic bandit and gambler named Serpiente. Along the way, he intervenes to rescue a young woman (Edwige Fenech) from sadistic outlaws in a drama punctuated by stylized torture setpieces and frontier shootouts."
Heads You Die... Tails I Kill You,1971,"They Call Me Hallelujah; Guns for Dollars; Testa t'Ammazzo, Croce Sei Morto... Mi Chiamano Alleluia!",Giuliano Carmineo (as Anthony Ascott),George Hilton,"Charles Southwood, Agata Flori, Roberto Camardiel, Rick Boyd, Paolo Gozlino, Andrea Bosić",Stelvio Cipriani,"George Hilton stars as the smooth gunfighter Hallelujah, hired by a revolutionary general to seize a shipment of royal jewels being used to purchase advanced firearms. Navigating rival secret agents, undercover spies disguised as nuns, and a Russian prince, Hallelujah triggers a chaotic web of double-crosses."
Hellbenders,1966,The Cruel Ones; I Crudeli,Sergio Corbucci,Joseph Cotten,"Norma Benguel, Al Mulock, Aldo Sambrell, Julian Mateos, Angel Aranda, Gino Pernice",Ennio Morricone (as Leo Nichols),"Sergio Corbucci's grim, psychological masterpiece starring Joseph Cotten as Jonas, a fanatical former Confederate colonel who refuses to accept the South's defeat. With his sons, Jonas ambushes a Union gold transport and hides the stolen fortune inside a coffin, undertaking a treacherous journey across the plains under the guise of escorting a dead officer's body."
"Here We Go Again, Eh Providence?",1973,"Ci Ridiamo, Vero Provvidenza?",Alberto De Martino,Tomás Milian,"Gregg Hunter, Carole André, Rick Boyd, Luciano Catenacci, Angel Ortiz",Ennio Morricone / Bruno Nicolai,"A sequel to Sometimes Life Is Hard, Right Providence?, featuring Tomás Milian as the eccentric, bowler-hatted bounty hunter Providence. Teaming up once again with the hulking outlaw Hurricane Kid, the duo engages in convoluted schemes involving counterfeit bounties, high-society heists, and romantic misadventures."
Hero Called Allegria,1971,His Name Was Pot... But They Called Him Allegria; Django Always Draws Second; Il Suo Nome Era Pot...,Demofilo Fidani (as Dennis Ford / Slim Alone),Peter Martell,"Gordon Mitchell, Lincoln Tate, Daniela Giordano, Lucky MacMurray",Nico Fidenco,"Two inept bandit brothers, Pot and Ray (Peter Martell and Gordon Mitchell), pull off a chaotic bank robbery, only to be ambushed and stripped of their loot by a rival gang leader named Lobo (Lincoln Tate). The surviving brother embarks on a clumsy quest to recover the stolen money."
Heroes of the West,1964,Gli Eroi del West,Stefano Vanzina (as Steno),Walter Chiari,"Raimondo Vianello, Silvia Solar, Benny Deus, Maria Anderson, Tomás Blanco, Bruno Scipioni",Gianni Ferrio / Manuel Parada,"A broad, lighthearted frontier comedy starring Italian comic duo Walter Chiari and Raimondo Vianello as two charming rogues who impersonate the heirs to a lucrative gold mine, finding themselves caught in the middle of a vicious blood feud between two rival pioneer families."
Hey Amigo! A Toast to Your Death!,1971,Ehi Amico... Sei Morto!,Paolo Bianchini (as Paul Maxwell),Wayde Preston,"Rik Battaglia, Aldo Berti, Anna Mason, Agnes Spaak, Raf Baldassare",Carlo Savina,"Wayde Preston plays a hardened, aging bounty hunter who journeys deep into the badlands of northern Mexico to apprehend a notorious bandit leader. Along the way, the mission evolves into an armed hunt for a hidden Confederate treasure buried in the desert."
Hills Run Red,1966,River of Dollars; Un Fiume di Dollari,Carlo Lizzani (as Lee W. Beaver),Thomas Hunter,"Henry Silva, Dan Duryea, Nicoletta Machiavelli, Gianna Serra, Nando Gazzolo",Ennio Morricone (as Leo Nichols),"At the end of the Civil War, two Confederate soldiers steal an army payroll, but one partner betrays the other and leaves him to rot in prison. Years later, the wronged veteran (Thomas Hunter) returns to find his former friend has built a criminal empire protected by a sadistic killer (Henry Silva), sparking an explosive town siege."
His Name Was Holy Ghost,1970,Blazing Guns; Lo Chiamavano Spirito Santo; They Call Him Holy Ghost,Giuliano Carmineo (as Anthony Ascott),Gianni Garko,"Victor Israel, Poldo Bendanti, Chris Huerta, Pilar Velasquez, Nello Pazzafini",Bruno Nicolai,"Gianni Garko introduces his iconic Holy Ghost character, a suave, white-clad sharpshooter with a dove perched upon his shoulder. Fighting for law and order, the vigilante defends border-town settlers from Mexican bandits while scheming to take control of a profitable gold mine won in a card game."
His Name Was King,1971,Lo Chiamavano King,Renato Savino (as Don Reynolds),Richard Harrison,"Klaus Kinski, Anne Puskin, John Silver, Lorenzo Fineschi, Tom Felleghy, Vassili Karis",Luis Enrique Bacalov,"When his brother is murdered and his sister-in-law brutally assaulted by the notorious Benson gang, John 'King' Marley (Richard Harrison) embarks on an obsessive manhunt. His search for the gunrunners leads to a shocking confrontation when he discovers his friend, the local sheriff (Klaus Kinski), is the secret syndicate kingpin."
"His Name Was Sam Walbash, But They Call Him Amen",1971,Savage Guns; Era Sam Walbash... Lo Chiamavano 'Così Sia',Demofilo Fidani (as Miles Deem),Robert Woods,"Dean Stratford (Dino Strano), Dennis Colt, Simone Blondell, Custer Gail",Lallo Gori,"When a sadistic gang leader (Dean Stratford) shoots up a frontier saloon to silence an informant, he murders an innocent youth. The victim's brother, Sam Walbash (Robert Woods), tracks the outlaw into Golden City, where the bandit has adopted a new identity, setting up an inevitable final confrontation."
Hole in the Forehead,1968,Un Buco in Fronte,Giuseppe Vari (as Joseph Warren),Robert Hundar,"Anthony Ghidra, Rosy Zichel, John Bryan, Giorgio Gargiulo, Luigi Marturano",Roberto Pregadio,"A ruthless Mexican bandit named Manguja (Robert Hundar) hunts across the desert for a fortune in hidden gold. However, an enigmatic and deadly bounty hunter named John Blood (Anthony Ghidra) gets to the treasure first, donating the loot to a monastery before facing Manguja in a final duel."
Holy Water Joe,1971,Acquasanta Joe,Mario Gariazzo,Ty Hardin,"Richard Harrison, Lincoln Tate, Silvia Monelli, Lee Banner, Anthony Freeman, Tucci Musumeci",Marcello Giombini,"When an outlaw gang led by Jeff Donovan (Ty Hardin) robs a frontier bank, they inadvertently steal the life savings of notorious bounty hunter Acquasanta Joe (Lincoln Tate). Joe tracks down the bandit, and the two form an uneasy alliance to hunt a rogue associate (Richard Harrison) who has run off with the gold."
Hour of Death,1968,Hora de Morir,Joaquin Romero Marchent (as Paul Marchenti),Paul Piaget,"Gloria Milland, Robert Hundar, Jesus Puente, Fernando Sancho, Raf Baldassare, Luis Induñi",Riz Ortolani,"A dramatic frontier chronicle detailing the trials of a pioneer wagon train traveling through hostile territories. Personal rivalries, indigenous attacks, and opportunistic bandits constantly threaten the expedition, culminating in an unexpected and somber finale."
Hunting Party,1971,Il Giorno dei Lunghi Fucili,Don Medford,Oliver Reed,"Gene Hackman, Candice Bergen, Simon Oakland, Ronald Howard, L. Q. Jones",Riz Ortolani,"A brutal, big-budget European-filmed western. An illiterate bandit leader (Oliver Reed) kidnaps the schoolteacher wife (Candice Bergen) of a wealthy, psychopathic cattle baron (Gene Hackman) so she can teach him to read. Armed with custom long-range rifles, the husband and his aristocratic hunting party track the outlaw gang, turning the chase into an unrelenting bloodbath."
"I Am Sartana, Trade Your Guns for a Coffin",1972,"Sartana's Coming, Get Your Coffins Ready; C'è Sartana, Vendi la Pistola e Comprati la Bara; Vendi Pistole per Comprare Cofani",Giuliano Carmineo (as Anthony Ascott),George Hilton,"Charles Southwood, Franco Fantasia, Peter Carter, Armando Calvo, Erika Blanc, Carlo Giordana, Rick Boyd",Frank Mason (Francesco De Masi),"George Hilton steps into the role of Sartana for this official entry in the series. Sartana joins forces with fellow gunfighter Sabata (Charles Southwood) to foil a corrupt banker who is conspiring with a Mexican bandit outfit. Packed with gadgetry, trick weapons, and fast-paced shootouts."
"I Am Sartana, Your Angel of Death",1969,"Sartana the Gravedigger; Sono Sartana, il Vostro Becchino",Giuliano Carmineo (as Anthony Ascott),Gianni Garko,"Frank Wolff, Klaus Kinski, Gordon Mitchell, Ettore Manni, Sal Borgese, Renato Baldini, Rick Boyd",Vasco & Mancuso,"When a criminal gang impersonates Sartana during a daring bank robbery, a massive bounty is placed on his head, attracting an army of ruthless bounty hunters (including Klaus Kinski and Gordon Mitchell). Sartana must use his wits, sleight of hand, and unique four-barreled derringer to clear his reputation and expose the corrupt bankers behind the scheme."
"I Came, I Saw, I Shot",1968,"Vado, Vedo e Sparo",Enzo G. Castellari,Antonio Sabàto,"John Saxon, Frank Wolff, Agata Flori, Leo Anchóriz, Antonio Vico, Rossella Bergamonti",Carlo Rustichelli / Bruno Nicolai,"A comedic caper focusing on two unlikely partners, Edwin (Frank Wolff) and Moses (Antonio Sabàto), who steal $300,000 from a frontier bank. They are tracked down by a gambler named Clay (John Saxon) who claims ownership of the loot, forcing the three squabbling men to team up when Mexican outlaws attempt to take the treasure."
I Do Not Forgive... I Kill!,1968,Ballad of a Bounty Hunter; Phaedra West; Fedra West; Io Non Perdono... Uccido!,Joaquin Romero Marchent,Simon Andreu,"James Philbrook, Norma Bengell, Luis Induñi, Angel Ortiz, Alfonso Rojas",Piero Piccioni,"A dramatic, violent romance following a determined bounty hunter (Simon Andreu) who falls deeply in love with a woman named Lucy (Norma Bengell). Complications arise when he discovers that her outlaw brother (James Philbrook) is the very fugitive he has been contracted to hunt down and kill."
I Want Him Dead,1968,Lo Quiero Muerto; Lo Voglio Morto,Paolo Bianchini (as Paolo Bianchi),Craig Hill,"Lea Massari, José Manuel Martin, Andrea Bosić, Licia Calderon, Cristina Businari, Rick Boyd, Frank Braña",Nico Fidenco,"When an outlaw gang assassintes a guide's sister en route to disrupt a Civil War peace conference, frontier guide Clayton (Craig Hill) vows bloody retribution. Operating entirely outside the law, Clayton relentlessly hunts down each member of the gang, foiling a wider conspiracy in the process."
If One Is Born a Swine,1972,One Is Born a Swine; Turn... I'll Kill You; Carogne Si Nasce; Winchester Bill,Alfonso Brescia (as Al Bradly),Richard Wyler,"Fernando Sancho, Eleonara Bianchi, Conrado Sanmartin, Ric Burton, Luis Induñi, Spean Convery",Coriolano Gori,"Bandit leader Pepito (Fernando Sancho) acts as hired muscle for a greedy town boss seeking to seize a productive gold mine. Gunfighting stranger Billy Walsh (Richard Wyler) rides to the rescue of the elderly mine owner and his daughter, leading to a series of violent clashes with Sancho's gang."
If One Is Born a Swine... Kill Him,1968,"Cry of Death; Lynching; Sei una Carogna, t'Ammazzo",Alfonso Brescia (as Al Bradly),Glenn Saxon,"Gordon Mitchell, Maria Bardanzellu, Philippe Hersent, Fernando Sancho, Giovanni Pazzafini",Coriolano Gori,"A powerful cattle syndicate gains control of the local bank and institutes an aggressive foreclosure campaign against struggling farmers. An undercover federal lawman known as 'Il Mulo' (Glenn Saxon) poses as a notorious hired gun, aligning with a local attorney to protect the settlers."
If You Shoot... You Live!,1974,Si Quieres Vivir... Dispara,José M. Elorrieta (as Joe Lacy),James Philbrook,"Frank Braña, Alejandro De Enciso, Paula Pattier, José Canalejas, Francisco Nieto",Javier Elorrieta,"A late-cycle Spanish production remaking the narrative of If You Want to Live, Shoot!. James Philbrook plays a recovering wounded gunfighter who steps in to defend a widowed homesteader from the predations of a wealthy regional land baron (Frank Braña)."
If You Want to Live... Shoot!,1967,"Django, If You Want to Live... Shoot!; Se Vuoi Vivere, Spara!",Sergio Garrone (as Willy S. Regan),Ivan Rassimov (as Sean Todd),"Ken Wood (Giovanni Cianfriglia), Riccardo Garrone, Isabella Savona, Tom Felleghy, Aldo Cecconi",Vasco and Mancuso,"A despotic land baron named Marlow (Ivan Rassimov) hires Mexican bandits to terrorize local homesteaders into selling their farms. Meanwhile, a wounded gunfighter named Johnny is nursed back to health by a widow; when the gang destroys her property, Johnny embarks on a lethal crusade to eliminate Marlow."
I'll Sell My Skin Dearly,1968,Vendo Cara la Pelle,Ettore Fizarotti,Mike Marshall,"Michele Girardon, Valerio Bartoleschi, Dane Savours, Grant Laramy, Spartaco Conversi",Enrico Ciacci / Marcello Marocchi,"After his entire family is slaughtered by a vicious gang, Shane (Mike Marshall) spends years mastering firearms on an abandoned ranch. Once his skills are honed, he ventures out to methodically track down and execute everyone involved, including a former bandit who has since taken holy vows as a priest."
In a Colt's Shadow,1965,All'Ombra di una Colt,Giovanni Grimaldi,Stephen Forsyte,"Conrado Sanmartin, Anne Sherman, Graham Sooty, Helga Line, Andrew Scott, Frank Ressel, José Calvo",Nico Fidenco / Willy Brezza,"Two hired gunfighters successfully defend a Mexican village from outlaws, but their friendship fractures when one partner falls in love with the other's daughter. Moving to Texas to start a peaceful life, the lovers are targeted by a local syndicate, forcing the two former allies to reunite in a massive town gunfight."
In the Name of the Father,1968,I Quattro del Pater Noster,Ruggero Deodato,Paolo Villaggio,Cast uncredited / ensemble,Soundtrack uncredited,"An obscure and rarely seen comedy-western directed by cult horror filmmaker Ruggero Deodato early in his career, following a group of four misfits navigating frontier scrapes and misadventures."
"In the Name of the Father, the Son and the Colt",1972,"Masked Thief; Au Nom du Père, du Fils et du Colt",Mario Bianchi (as Frank Bronston),Craig Hill,"Nuccia Cardinali, Gill Roland, Agatha Lys, Lorenzo Piani, Frank Braña, Paco Sanz",Piero Piccioni,"Sheriff Johnston (Craig Hill) investigates a series of daring stagecoach robberies carried out by a mysterious gang of outlaws who disguise themselves in outlandish costumes, including saloon girls, to ambush their unsuspecting prey."
It Can Be Done... Amigo,1971,The Big and the Bad; Si Può Fare... Amigo,Maurizio Lucidi,Bud Spencer,"Jack Palance, Renato Cestiè, Dany Saval, Francisco Rabal, Giovanni Pazzafini, Luciano Catenacci",Luis Enrique Bacalov,"A lively, slapstick-infused western comedy pairing Bud Spencer as the roguish Coburn with Jack Palance as Sonny Bronston, a theatrical, blustery gunslinger pursuing Coburn for compromising his sister's honor. Along the way, Coburn inherits custody of an orphaned boy with valuable oil-rich land."
Jaguar,1964,El Llanero,Jess Franco,José Suarez,"Silvia Sorente, Todd Martens, Manuel Zarzo, Georges Rollin, Roberto Camardiel, Beny Deus",Daniel J. White,"Cult auteur Jess Franco directs this unique adventure set during civil unrest in South America. José Suarez plays Llanos (also called 'Jaguar'), a mountain rebel leading a revolutionary guerrilla faction fighting against an oppressive military general and a corrupt magistrate."
"Jesse and Lester, Two Brothers in a Place Called Trinity",1972,Two Brothers in Trinity; Due Fratelli i un Posto Chiamato Trinità,Richard Harrison (as James London),Richard Harrison,"Donald O'Brien, Gino Marturano, Anna Zinneman, George Wang, Rick Boyd",Carlo Savina,"Directed by and starring Richard Harrison alongside Donald O'Brien. Two vastly different brothers—one a charming, womanizing scoundrel and the other a devout Mormon preacher—inherit a substantial fortune, but their conflicting plans are put on hold when bandits rob the inheritance."
Jesse James' Kid,1966,Hijo de Jesse James; One Against All; Solo Contro Tutti,Adrian Hoven (as Antonio Del Amo),Robert Hundar,"Mercedes Alonso, Adrian Hoven, Luis Induñi, Roberto Camardiel, Joe Kamel, Pier Caminnecci",Angelo Francesco Lavagnino,"Twenty years after the legendary outlaw Jesse James is assassinated in his home, his grown son Billy (Robert Hundar) goes undercover at a regional horse ranch. Learning that the rival rancher conspiring to seize the land is the very man who murdered his father, Billy launches a bullet-riddled vendetta."
Joe Dexter,1965,Guns of Nevada; La Sfida degli Implacabili,Ignacio Iquino (as Steve McCohy),George Martin,"Audrey Amber (Adriana Ambesi), Katya Loritz, John MacDouglas, Stan Bart, Miguel De La Riva",Enrique Escobar,"Drifter and quick-draw expert Joe Dexter (George Martin) settles in Iron City, where he becomes romantically entangled with two women. When a jealous saloon owner conspires with a mine manager to steal an inherited silver claim, Joe takes up arms in a decisive town showdown."
John the Bastard,1967,John il Bastardo,Armando Crispino,John Richardson,"Claudio Camaso, Martine Beswick, Claudio Gora, Glauco Onorato, Gordon Mitchell, Nadia Scarpitta",Nico Fidenco,"A unique western retelling of the Don Juan and Casanova myths. John Tenerico (John Richardson) is an amorous seducer and lethal gunman who travels across the frontier leaving broken hearts and dead rivals in his wake, until a vengeful religious sect dispatches an assassin (Gordon Mitchell) to end his reign."
Johnny Colt,1966,Starblack,Giovanni Grimaldi,Robert Woods,"Elga Andersen, Franco Lantieri, Jane Tilden, Andrea Scotti, Renato Rossini",Benedetto Ghiglia,"Robert Woods plays Starblack, a masked Robin Hood-style avenger who adopts a mild-mannered alter ego to undermine the corrupt, extortionist grip that a crooked banker (Franco Lantieri) holds over an oppressed mining community."
Johnny Hamlet,1968,Dirty Story of the West; Quella Sporca Storia del West; Django Porte sa Croix,Enzo G. Castellari,Andrea Giordana (as Chip Gorman),"Gilbert Roland, Gabriella Grimaldi, Horst Frank, Pedro Sanchez, Stefania Careddu",Francesco De Masi / Franco Alessandroni,"Castellari directs a Shakespearean tragedy reframed as a spaghetti western. Returning from the Civil War, Johnny discovers his father dead and his mother married to his villainous Uncle Claude (Horst Frank). Suspecting assassination, Johnny conducts a deadly investigation aided by a wandering mentor (Gilbert Roland)."
Johnny Yuma,1966,Johnny Yuma,Romolo Guerrieri,Mark Damon,"Lawrence Dobkin, Rosalba Neri, Luigi Vannucchi, Fidel Gonzales, Gustavo D'Arpe, Gianni Solaro",Nora Orlandi,"A violent, iconic western starring Mark Damon as Johnny Yuma, a skilled gunfighter who arrives to claim his murdered uncle's ranch. He runs afoul of the scheming widow Samantha (Rosalba Neri) and her hired assassin Carradine (Lawrence Dobkin), but Johnny and Carradine develop a mutual respect that upends the murder plot."
Judge Roy Bean,1970,Trouble in Sacramento; All'Ovest di Sacramento; La Loi à l'Ouest de Pecos,Jean Girault / Robert Hossein (as Richard Owens),Robert Hossein,"Silva Monti, Xavier Gelin, Pierre Perret, Anne-Marie Balin",Pierre Perret,"Robert Hossein stars as the eccentric, self-appointed hanging judge Roy Bean, governing his frontier territory with autocratic rule. When a federal investigator arrives to challenge his legal jurisdiction, political maneuvering and comedic frontier violence collide."
Keoma,1975,Keoma il Vendicatore; Django Rides Again; Django's Great Return; The Violent One,Enzo G. Castellari,Franco Nero,"Woody Strode, William Berger, Donald O'Brien, Olga Karlatos, Ken Wood (Giovanni Cianfriglia)",Guido and Maurizio De Angelis,"One of the crowning achievements of the twilight era of Spaghetti Westerns. Half-breed gunslinger Keoma (Franco Nero) returns to his plague-ravaged hometown to find it dominated by an ex-Confederate tyrant and his own three treacherous half-brothers. Aided by his father (William Berger) and a freedman friend (Woody Strode), Keoma wages a mythic, slow-motion battle of redemption."
Kid Rodelo,1966,Il Kid Rodelo,Richard Carlson,Don Murray,"Janet Leigh, Broderick Crawford, Richard Carlson, José Nieto, Miguel Del Castillo, Julio Peña",Johnny Douglas,"Based on a Louis L'Amour novel, Don Murray stars as Kid Rodelo, recently freed from prison and attempting to recover a hidden cache of gold. Pursued by an outlaw gang and an enigmatic woman (Janet Leigh), the expedition across the desert devolves into a desperate survival trek against native war parties."
Kid Vengeance,1976,Vengeance; Vendetta,Joe Manduke,Leif Garrett,"Lee Van Cleef, Jim Brown, Glynnis O'Connor, John Marley, Matt Clark",Francesco De Masi,A brutal exploitation western filmed in Israel. Pop star Leif Garrett plays a young boy whose parents are slaughtered and sister abducted by a psychotic outlaw band led by Lee Van Cleef. The boy joins forces with an enigmatic black gunfighter (Jim Brown) to track down the gang and execute them.
Kill Django... Kill First,1971,Uccidi Django... Uccidi Primo,Sergio Garrone (as Willy S. Regan),Giacomo Rossi Stuart,"George Wang, Peter White, Aldo Sambrell, Mirko Ellis, Men Fury, Riccardo Garrone, Krista Nell",Elio Mancuso,"Bounty hunter Django (Giacomo Rossi Stuart) is tasked with hunting down Ramon (George Wang), a notorious Mexican outlaw leading a gang of bandits in a series of violent raids across the Texas borderlands."
Kill Johnny Ringo,1966,Uccidete Johnny Ringo,Gianfranco Baldanello (as Frank G. Carrol),Brett Halsey,"Greta Polyn, Ray Scott, Lee Burton, William Bogart, James Harrison, William Burke",Pippo Caruso,"Texas Ranger Johnny Ringo (Brett Halsey) is dispatched to Eagle Pass to investigate a widespread counterfeiting racket. Posing as a traveling gambler, Ringo follows the trail of bogus currency directly to the town's corrupt civic leaders, culminating in an explosive saloon battle."
Kill or Die,1966,Kill or Be Killed; Ringo Against Johnny Colt; Uccidi o Muori,Tanio Boccia (as Amerigo Anton),Robert Mark,"Elina De Witt, Fabrizio Moroni, Andrea Bosić, Albert Farley, Men Fury, Gordon Mitchell",Carlo Rustichelli,"Capitalizing on the popularity of the Ringo name, Robert Mark plays a mysterious violin-playing wanderer who intervenes in a vicious territorial feud, defending a vulnerable family against a powerful, aggressive frontier clan."
Kill the Poker Player,1972,"Hai Sbagliato, Dovete Uccidermi Subito!",Mario Bianchi (as Frank Bronston),Robert Woods,"Ivano Staccioli, Susan Scott (Nieves Navarro), Frank Braña, Saturno Cerra, Carlo Gaddi, Ernesto Colli",Carlo Savina,"Professional gambler and quick-draw ace Ace (Robert Woods) runs into deadly trouble when he exposes a corrupt town boss (Frank Braña) as a card cheat. After stealing the boss's saloon-singer lover (Nieves Navarro), Ace finds himself marked for death by a cadre of hired assassins."
Kill Them All and Come Back Alone,1967,Go Kill Everybody and Come Back Alone; Ammazzali Tutti e Torna Solo,Enzo G. Castellari,Chuck Connors,"Frank Wolff, Franco Citti, Leo Anchóriz, Men Fury, Ken Wood, Alberto Dell'Acqua",Francesco De Masi,"A fast-paced, action-packed military heist film. Captured Confederate soldier Clyde Link (Chuck Connors) leads a specialized team of mercenaries to infiltrate an impregnable Union fortress and steal a fortune in gold. The mission succeeds, but a series of ruthless double-crosses leaves Link clawing his way out of a grave to hunt down his treacherous partners."
Killer Caliber .32,1967,Killer Calibro .32,Alfonso Brescia (as Al Bradly),Peter Lee Lawrence,"Agnes Spaak, Sherill Morgan (Hélène Chanel), Cole Kitosch, Max Dean, John Bartha, Andrea Bosić",Robbe Poitevin,"When a regular stagecoach run is repeatedly ambushed and plundered by a gang of masked bandits, bank executives hire a dapper, sharply dressed bounty hunter named Silver (Peter Lee Lawrence). Through meticulous investigation, Silver discovers that the leader of the outlaws is none other than the bank director himself."
